FID,Node,Surface_El,Elevation,Dwn_Length,Dwn_Node,X,Y
2,B7-D26,4271.3716,999,363.663789,B7-D20,1529416.67,7441072.593
3,B8-D15,4287.5596,999,333.419889,D078102,1530609.135,7441067.506
4,D066131,4316.3257,999,157.996544,B9-D5,1532024.948,7441066.165
5,B8-D24,4294.1943,999,55.621308,B8-D20,1531067.195,7441065.795
7,D090135,4262.0889,999,334.175317,D090066,1528667.114,7440661.835
8,B8-D1,4277.3354,999,390.092192,D090039,1529880.364,7441070.377
9,D066130,4327.4995,999,310.958036,B9-D13,1532543.588,7441065.178
10,B9-D1,4303.1548,999,403.313568,B8-D24,1531470.505,7441063.999
11,B10-D4,4345.9487,999,358.949267,B10-D2,1533378.919,7441058.375
12,I10-D11,4262.875,999,20.865085,I10-D10,1527843.145,7441077.849
14,B7-D9,4264.0732,999,104.363724,B7-D7,1528668.077,7441074.751
15,D090039,4272.2778,999,73.613175,B7-D26,1529490.274,7441071.437
18,B8-D20,4293.7148,999,402.442239,B8-D15,1531011.575,7441066.074
19,B9-D3,4311.5024,999,323.407798,B9-D1,1531793.909,7441065.612
20,B10-D2,4338.1953,999,318.638308,B9-D18,1533019.983,7441061.454
21,D090042,4251.2334,999,178.434714,D099098,1527029.345,7440326.622
22,D090010,4260.4668,999,177.099006,D090040,1527096.459,7440922.842
23,D090136,4261.5386,999,54.67393,D090010,1527105.087,7440976.814
24,D090040,4257.6597,999,277.759548,D090043,1527088.143,7440745.939
25,D090120,4262.2695,999,381.013308,B7-D9,1528667.283,7440693.738
26,D090043,4253.4604,999,179.642571,D090042,1527089.753,7440468.184
27,D099097,4246.7773,999,227.897014,D099046,1526541.75,7440255.637
28,D090133,4258.3062,999,290.57097,D090118,1528665.598,7440226.124
29,D135070,4229.7266,999,433.906085,D135067,1518811.848,7439638.633
30,D099046,4246.459,999,63.786056,D099045,1526313.87,7440258.427
31,D099045,4246.4307,999,306.224022,D099038,1526250.109,7440256.654
34,D109093,4228.5542,999,29.033485,D109092,1522385.746,7439499.647
35,D109101,4228.499,999,90.716692,D109093,1522476.448,7439498.033
36,D109127,4230.7476,999,395.153015,D109117,1523570.295,7439495.239
37,I10-D10,4262.5771,999,35.697948,I10-D8,1527822.286,7441078.379
39,B7-D10,4264.1289,999,14.037424,B7-D9,1528682.109,7441074.356
41,B7-D18,4265.2393,999,88.078109,B7-D12,1528825.595,7441073.844
42,B7-D20,4267.5176,999,227.412002,B7-D18,1529053.006,7441073.151
43,B9-D13,4320.7583,999,207.685988,D066131,1532232.633,7441066.55
44,B9-D5,4312.8101,999,73.044537,B9-D3,1531866.951,7441066.167
45,D090118,4256.3647,999,399.02716,D090117,1528666.447,7439935.554
46,B9-D18,4330.5854,999,157.81858,D066130,1532701.345,7441060.767
47,D066127,4372.252,999,160.556067,D066019,1534298.004,7441052.634
48,D090119,4262.8779,999,47.478013,D090136,1527114.252,7441023.248
50,D099134,4232.9761,999,80.542662,D099063,1524710.453,7439389.875
51,D090500,4252.499,999,244.933234,D090114,1528660.546,7439386.876
53,D090114,4250.4126,999,509.304477,D091034,1528659.517,7439141.945
55,D109089,4230.2666,999,255.206819,D109088,1522194.897,7439508.166
56,D122136,4227.9858,999,456.789439,D122104,1521507.004,7439502.237
57,D122115,4228.0381,999,59.17301,D122136,1521566.176,7439501.958
58,D109113,4230.6094,999,375.407835,D109106,1523030.747,7439498.94
59,D109114,4230.5078,999,54.109322,D109113,1523084.854,7439498.453
60,D099121,4231.9702,999,111.262736,D109151,1524407.135,7439492.283
61,D109092,4229.0195,999,162.013016,D109089,1522356.72,7439500.337
62,D109088,4229.9658,999,373.731004,D122115,1521939.887,7439498.127
